okay it better now but why it change from LIMIT_ACTIVE to PASS_THROUGH and imedely change to OVERSHOOT and go again to LIMIT_ACTIVE and analiytic the logs
[2026-01-15 13:33:39.687] Speed=50.0 km/h, RPM=2200, APS_in=(1.004V,1.906V), APS_out=(1.012V,1.923V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:39.786] Speed=50.0 km/h, RPM=2200, APS_in=(1.011V,1.914V), APS_out=(1.012V,1.923V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=-16.67 km/h/s
[2026-01-15 13:33:39.894] Speed=50.0 km/h, RPM=2200, APS_in=(1.007V,1.911V), APS_out=(1.012V,1.923V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:40.004] Speed=52.0 km/h, RPM=2262, APS_in=(1.010V,1.911V), APS_out=(0.998V,1.909V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=12.50 km/h/s
[2026-01-15 13:33:40.114] Speed=52.0 km/h, RPM=2262, APS_in=(1.002V,1.902V), APS_out=(0.952V,1.863V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=25.00 km/h/s
[2026-01-15 13:33:40.224] Speed=52.0 km/h, RPM=2300, APS_in=(1.005V,1.906V), APS_out=(0.854V,1.765V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:40.332] Speed=52.0 km/h, RPM=2300, APS_in=(1.002V,1.905V), APS_out=(0.854V,1.765V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:40.441] Speed=52.0 km/h, RPM=2300, APS_in=(0.991V,1.893V), APS_out=(0.854V,1.765V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:40.553] Speed=52.0 km/h, RPM=2300, APS_in=(0.983V,1.887V), APS_out=(0.854V,1.765V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:40.664] Speed=52.0 km/h, RPM=2350, APS_in=(0.982V,1.887V), APS_out=(0.854V,1.765V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:40.770] Speed=52.0 km/h, RPM=2350, APS_in=(0.986V,1.881V), APS_out=(0.846V,1.757V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:40.770] STATE OVERSHOOT_CONTROL -> LIMIT_ACTIVE
[2026-01-15 13:33:40.770] Speed=52.0 km/h, RPM=2350, APS_in=(1.005V,1.893V), APS_out=(0.838V,1.749V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:33:40.884] STATE LIMIT_ACTIVE -> PASS_THROUGH
[2026-01-15 13:33:40.884] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:40.884] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:40.884] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:40.884] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:40.884] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:40.884] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:40.884] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:40.884] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:40.884] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:40.884] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:40.884] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:40.884] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:40.884] Speed=52.0 km/h, RPM=2350, APS_in=(0.692V,1.304V), APS_out=(0.692V,1.304V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:40.884] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:40.993] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:40.993] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:40.993] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:40.993] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:40.993] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:40.993] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:40.993] Speed=52.0 km/h, RPM=2350, APS_in=(0.440V,0.809V), APS_out=(0.411V,0.785V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=-23.81 km/h/s
[2026-01-15 13:33:41.104] Speed=54.0 km/h, RPM=2350, APS_in=(0.437V,0.809V), APS_out=(0.365V,0.739V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=25.00 km/h/s
[2026-01-15 13:33:41.104] STATE OVERSHOOT_CONTROL -> LIMIT_ACTIVE
[2026-01-15 13:33:41.213] Speed=54.0 km/h, RPM=1950, APS_in=(0.426V,0.803V), APS_out=(0.350V,0.700V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:33:41.320] Speed=54.0 km/h, RPM=1737, APS_in=(0.428V,0.801V), APS_out=(0.350V,0.700V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:33:41.435] Speed=54.0 km/h, RPM=1687, APS_in=(0.428V,0.803V), APS_out=(0.350V,0.700V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:33:41.537] Speed=54.0 km/h, RPM=1687, APS_in=(0.425V,0.800V), APS_out=(0.350V,0.700V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:33:41.654] Speed=54.0 km/h, RPM=1512, APS_in=(0.421V,0.790V), APS_out=(0.350V,0.700V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:33:41.753] Speed=54.0 km/h, RPM=1475, APS_in=(0.394V,0.768V), APS_out=(0.350V,0.700V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:33:41.870] Speed=54.0 km/h, RPM=1475, APS_in=(0.393V,0.769V), APS_out=(0.350V,0.700V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:33:41.870] Speed=54.0 km/h, RPM=1462, APS_in=(0.388V,0.762V), APS_out=(0.350V,0.700V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:33:41.987] Speed=54.0 km/h, RPM=1450, APS_in=(0.388V,0.762V), APS_out=(0.350V,0.700V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:33:42.089] Speed=54.0 km/h, RPM=1450, APS_in=(0.388V,0.762V), APS_out=(0.350V,0.700V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:33:42.203] Speed=52.0 km/h, RPM=1337, APS_in=(0.390V,0.763V), APS_out=(0.350V,0.700V), Relay=ON, State=LIMIT_ACTIVE, Accel=-25.00 km/h/s
[2026-01-15 13:33:42.303] Speed=52.0 km/h, RPM=1312, APS_in=(0.387V,0.762V), APS_out=(0.350V,0.700V), Relay=ON, State=LIMIT_ACTIVE, Accel=0.00 km/h/s
[2026-01-15 13:33:42.303] STATE LIMIT_ACTIVE -> PASS_THROUGH
[2026-01-15 13:33:42.303] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:42.411] Speed=52.0 km/h, RPM=1312, APS_in=(0.384V,0.762V), APS_out=(0.422V,0.797V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:42.520] Speed=52.0 km/h, RPM=1312, APS_in=(0.388V,0.765V), APS_out=(0.422V,0.797V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:42.632] Speed=52.0 km/h, RPM=1312, APS_in=(0.388V,0.765V), APS_out=(0.422V,0.797V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:42.737] Speed=52.0 km/h, RPM=1237, APS_in=(0.385V,0.763V), APS_out=(0.422V,0.797V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:42.852] Speed=52.0 km/h, RPM=1225, APS_in=(0.393V,0.763V), APS_out=(0.422V,0.797V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:42.963] Speed=52.0 km/h, RPM=1225, APS_in=(0.394V,0.768V), APS_out=(0.350V,0.703V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=32.26 km/h/s
[2026-01-15 13:33:43.070] Speed=52.0 km/h, RPM=1225, APS_in=(0.399V,0.769V), APS_out=(0.350V,0.700V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:43.070] Speed=52.0 km/h, RPM=1225, APS_in=(0.407V,0.777V), APS_out=(0.350V,0.700V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:43.183] Speed=46.0 km/h, RPM=1225, APS_in=(0.401V,0.777V), APS_out=(0.350V,0.700V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=-37.50 km/h/s
[2026-01-15 13:33:43.288] Speed=46.0 km/h, RPM=1237, APS_in=(0.406V,0.777V), APS_out=(0.350V,0.700V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:43.402] Speed=46.0 km/h, RPM=1237, APS_in=(0.407V,0.778V), APS_out=(0.350V,0.700V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:43.504] Speed=42.0 km/h, RPM=1237, APS_in=(0.406V,0.777V), APS_out=(0.350V,0.700V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=-25.00 km/h/s
[2026-01-15 13:33:43.623] Speed=46.0 km/h, RPM=1237, APS_in=(0.406V,0.775V), APS_out=(0.350V,0.700V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:43.623] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:43.623] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:43.733] Speed=46.0 km/h, RPM=1225, APS_in=(0.410V,0.782V), APS_out=(0.350V,0.700V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:43.836] Speed=46.0 km/h, RPM=1225, APS_in=(0.413V,0.782V), APS_out=(0.350V,0.700V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:43.951] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:43.951] Speed=38.0 km/h, RPM=1225, APS_in=(0.404V,0.769V), APS_out=(0.404V,0.769V), Relay=OFF, State=PASS_THROUGH, Accel=-50.00 km/h/s
[2026-01-15 13:33:43.951] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:43.951] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:43.951] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:43.951] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:43.951] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:44.055] Speed=46.0 km/h, RPM=1225, APS_in=(0.406V,0.778V), APS_out=(0.404V,0.774V), Relay=ON, State=OVERSHOOT_CONTROL, Accel=0.00 km/h/s
[2026-01-15 13:33:44.055] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:44.055] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:44.055] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:44.055] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:44.055] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:44.171] Speed=38.0 km/h, RPM=1225, APS_in=(0.409V,0.777V), APS_out=(0.409V,0.777V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:44.171] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:44.171] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:44.171] STATE PASS_THROUGH -> OVERSHOOT_CONTROL
[2026-01-15 13:33:44.171] STATE OVERSHOOT_CONTROL -> PASS_THROUGH
[2026-01-15 13:33:44.171] Speed=38.0 km/h, RPM=1250, APS_in=(0.407V,0.777V), APS_out=(0.407V,0.777V), Relay=OFF, State=PASS_THROUGH, Accel=-100.00 km/h/s
[2026-01-15 13:33:44.270] Speed=38.0 km/h, RPM=1250, APS_in=(0.409V,0.777V), APS_out=(0.409V,0.777V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:44.386] Speed=38.0 km/h, RPM=1250, APS_in=(0.406V,0.777V), APS_out=(0.406V,0.777V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:44.488] Speed=38.0 km/h, RPM=1250, APS_in=(0.407V,0.777V), APS_out=(0.407V,0.777V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:44.603] Speed=38.0 km/h, RPM=1250, APS_in=(0.401V,0.771V), APS_out=(0.401V,0.771V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:44.720] Speed=38.0 km/h, RPM=1275, APS_in=(0.391V,0.762V), APS_out=(0.391V,0.762V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:44.821] Speed=38.0 km/h, RPM=1287, APS_in=(0.393V,0.766V), APS_out=(0.393V,0.766V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:44.930] Speed=38.0 km/h, RPM=1287, APS_in=(0.388V,0.759V), APS_out=(0.388V,0.759V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:45.038] Speed=38.0 km/h, RPM=1287, APS_in=(0.390V,0.765V), APS_out=(0.390V,0.765V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:45.154] Speed=38.0 km/h, RPM=1287, APS_in=(0.394V,0.766V), APS_out=(0.394V,0.766V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:45.255] Speed=38.0 km/h, RPM=1275, APS_in=(0.403V,0.772V), APS_out=(0.403V,0.772V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:45.370] Speed=38.0 km/h, RPM=1262, APS_in=(0.425V,0.797V), APS_out=(0.425V,0.797V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:45.370] Speed=38.0 km/h, RPM=1250, APS_in=(0.428V,0.801V), APS_out=(0.428V,0.801V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:45.487] Speed=38.0 km/h, RPM=1250, APS_in=(0.428V,0.803V), APS_out=(0.428V,0.803V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:45.587] Speed=38.0 km/h, RPM=1250, APS_in=(0.440V,0.809V), APS_out=(0.440V,0.809V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:45.704] Speed=38.0 km/h, RPM=1250, APS_in=(0.428V,0.801V), APS_out=(0.428V,0.801V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:45.804] Speed=38.0 km/h, RPM=1262, APS_in=(0.428V,0.803V), APS_out=(0.428V,0.803V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:45.910] Speed=38.0 km/h, RPM=1275, APS_in=(0.422V,0.797V), APS_out=(0.422V,0.797V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:46.022] Speed=38.0 km/h, RPM=1275, APS_in=(0.415V,0.788V), APS_out=(0.415V,0.788V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:46.131] Speed=38.0 km/h, RPM=1275, APS_in=(0.394V,0.768V), APS_out=(0.394V,0.768V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:46.238] Speed=38.0 km/h, RPM=1275, APS_in=(0.391V,0.766V), APS_out=(0.391V,0.766V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:46.349] Speed=36.0 km/h, RPM=1325, APS_in=(0.390V,0.759V), APS_out=(0.390V,0.759V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:46.469] Speed=36.0 km/h, RPM=1325, APS_in=(0.388V,0.763V), APS_out=(0.388V,0.763V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:46.469] Speed=36.0 km/h, RPM=1325, APS_in=(0.391V,0.768V), APS_out=(0.391V,0.768V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:46.569] Speed=36.0 km/h, RPM=1300, APS_in=(0.393V,0.768V), APS_out=(0.393V,0.768V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:46.678] Speed=36.0 km/h, RPM=1300, APS_in=(0.419V,0.809V), APS_out=(0.419V,0.809V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:46.787] Speed=36.0 km/h, RPM=1300, APS_in=(0.460V,0.898V), APS_out=(0.460V,0.898V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:46.897] Speed=36.0 km/h, RPM=1287, APS_in=(0.473V,0.913V), APS_out=(0.473V,0.913V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
[2026-01-15 13:33:47.004] Speed=36.0 km/h, RPM=1312, APS_in=(0.390V,0.762V), APS_out=(0.390V,0.762V), Relay=OFF, State=PASS_THROUGH, Accel=0.00 km/h/s
